exporter,importer,pair_id,year,trade,dist,cntg,lang,clny,log_dist,intl,y,e,e_r,fe_exporter_bln,fe_importer_bln,tij_bln,omr_bln,imr_bln,tradehat_bln,xi_bln,tij_cfl,log_tij_cfl,fe_exporter_cfl,fe_importer_cfl,omr_cfl,imr_cfl,tradehat_cfl,xi_cfl,change_tij,phi,change_p_i,change_p_j,trade_cfl,omr_cfl_0,imr_cfl_0,change_imr_full_0,change_omr_full_0,change_p_i_0,change_p_j_0,fe_exporter_cfl_0,fe_importer_cfl_0,tradehat_0,e_r_cfl_0,trade_1,tradehat_1,y_cfl_1,e_cfl_1,e_r_cfl_1,change_p_i_1,change_p_j_1,omr_cfl_1,imr_cfl_1,change_omr_full_1,change_imr_full_1,fe_exp_cfl_0,fe_imp_cfl_0,change_p_i_full,change_p_j_full,y_full,e_full,e_full_r,omr_full,imr_full,x_full,xi_full,change_price_full,change_omr_cfl,change_omr_full,change_xi_cfl,change_xi_full,change_imr_full,rgdp,log_y
ARG,ARG,12339,2006,32313.3693268635,533.908239819169,0,0,0,6.280223988650149,0,59561.41971842669,60231.607252456146,1771970.008304786,16.60491237536353,-1.5147178893715252,0.006946861442565901,6486.3382260095905,0.15459722935497833,24852.88629795108,34708.533420474676,0.006946861442565901,-4.969465312401072,14.869260361658553,-2.2451764694930336,36794.56585612789,0.32094885965979586,2110.370027892904,57451.04969053355,1,1.011252040955332,1.335459377445095,1.335459377445095,3763.7431168734524,36779.65546707624,0.3208909001030148,1.0000193389372607,1.0000835953130045,1.000052287496421,1.000052287496421,14.869260361658553,-2.2451764694930336,2109.3518754488273,1771738.393484195,2109.35187544883,2109.3518754488273,59529.6078695256,60199.437455328356,1771738.393484195,1.000052287496421,1.000052287496421,36779.65546707624,0.3208909001030148,1.0000835953130045,1.0000193389372607,14.86900071407742,-2.2453993904257294,1.3354302827999665,1.3354302827999665,79540.12357854604,80435.11230664402,2200336.720779877,49130.154827492675,0.34516303375666685,2620.886178164448,71348.93884239689,33.54302827999665,-25.11939959468267,-28.64212480333136,65.52427898507227,105.56598568439632,12.529239023288675,52.67162053792105,10.994763323290663
AUS,AUS,12340,2006,261364.581357139,1121.10364922907,0,0,0,7.0220688801975735,0,305793.00572269154,362227.391241487,1771970.008304786,17.830908509131536,0.06431561956429895,0.0038623548917141983,9772.793941875549,0.19168715095248035,228375.37203763565,77417.63368505612,0.0038623548917141983,-5.55647820595222,16.688062869129322,-0.29877351651457384,30644.341745420028,0.27560088685263123,50655.90800786509,255137.09771482556,1,1.184550936295688,1.2098232485181108,1.2098232485181108,74143.64901038834,30632.774589521556,0.2755587714275876,1.0000165360842928,1.0000807922799437,1.0000542892622035,1.0000542892622035,16.688062869129322,-0.29877351651457384,50630.252810153484,1771738.393484195,50630.252810153135,50630.252810153484,305634.5009239346,362039.6342337121,1771738.393484195,1.0000542892622035,1.0000542892622035,30632.774589521556,0.2755587714275876,1.0000807922799437,1.0000165360842928,16.687791211593485,-0.2990084474021315,1.2097968910124628,1.2097968910124628,369947.42761666846,438221.571763506,2200336.720779877,37068.58348979094,0.26850989523588864,62909.99558629094,316856.8943359315,20.97968910124628,-17.343297773052324,-19.92404530015771,229.5594111707841,309.2825875109306,5.462208780656841,27.96965905470925,12.63066370015108
AUT,AUT,12341,2006,73141.9013857947,153.257501607919,0,0,0,5.032119523751542,0,170426.5718851122,174533.5954199685,1771970.008304786,16.663523989125718,-1.5694174394954998,0.01865100327768046,17503.188005364485,0.47316433516998385,66986.82319774422,103439.74868736733,0.01865100327768046,-3.9818553392893237,14.894619888644451,-2.257873712999842,102646.09866479195,0.9418999260383587,5738.1425326228255,164688.42935248933,1,1.0240984929135635,1.342881059167247,1.342881059167247,10347.761928473528,102622.55547201421,0.9418955199044967,1.0000002329493725,1.0000644880974856,1.000011022103537,1.000011022103537,14.894619888644451,-2.257873712999842,5738.214836699803,1771738.393484195,5738.214836699813,5738.214836699803,170407.70104383802,174514.2698198596,1771738.393484195,1.000011022103537,1.000011022103537,102622.55547201421,0.9418955199044967,1.0000644880974856,1.0000002329493725,14.89460782558342,-2.257849049411544,1.3428518028315426,1.3428518028315426,228857.62930632243,234372.7532643758,2200336.720779877,137820.48172719093,1.0185915513628259,7126.247176237804,204527.93703884783,34.28518028315426,-25.533241147944686,-29.10201389163387,59.211938778232984,97.72663761684677,11.99608583713504,52.59000870647479,12.046059819513152
BEL,BEL,12343,2006,486706.978482757,66.7750388524264,0,0,0,4.20132934083676,0,762280.2254298639,760115.3540678454,1771970.008304786,17.373912297783434,-0.9040841065576088,0.03599190913429619,38474.83629502653,1.0594046551985348,511635.16372411046,250645.06170575548,0.03599190913429619,-3.324461112054805,16.09275380456327,-1.0869301583093764,138540.52998598883,1.2719525440108685,118345.3748844381,643934.8505454274,1,0.9971600058747455,1.238036201226853,1.238036201226853,181391.9366969415,138511.5614372045,1.2719723755167387,0.9999986427568374,1.0000628978027681,1.0000145337705177,1.0000145337705177,16.09275380456327,-1.0869301583093764,118341.87913935071,1771738.393484195,118341.8791393505,118341.87913935071,762195.2101824441,760030.5802632289,1771738.393484195,1.0000145337705177,1.0000145337705177,138511.5614372045,1.2719723755167387,1.0000628978027681,0.9999986427568374,16.09272067176958,-1.0869265644539103,1.2380092290669062,1.2380092290669062,943709.9542173733,941029.8234914518,2200336.720779877,171492.03600800817,1.2681248435921655,146974.11031467418,799708.073525837,23.800922906690623,-19.226917677444888,-22.048919871521623,156.91104630713775,219.05997592111092,2.9527326585319646,27.56765470900675,13.544069516973318
BGR,BGR,12342,2006,14374.1657395057,179.52774416151,0,0,0,5.1903297595584865,0,24684.405405443773,28539.964807961045,1771970.008304786,15.306406333374031,-2.674131597356518,0.016456328145093867,9848.979398328054,0.23353805718307047,5040.343683665717,19644.06172177765,0.016456328145093867,-4.107045186073497,13.366618975675731,-3.6153603673628023,68522.02271799262,0.5985881623295334,282.6511416590456,24401.754263784867,1,1.1561941371156943,1.3816768814083271,1.3816768814083271,539.58979291786045,68503.28148043234,0.5985589321578821,1.00000472497245,1.0000689804092342,1.0000173236339855,1.0000173236339855,13.366618975675731,-3.6153603673628023,282.6333304596061,1771738.393484195,282.63333045960644,282.6333304596061,24679.64925282379,28534.46577218659,1771738.393484195,1.0000173236339855,1.0000173236339855,68503.28148043234,0.5985589321578821,1.0000689804092342,1.00000472497245,13.366569103967864,-3.615373512420206,1.381646779857336,1.381646779857336,34105.12924112441,39432.15047416107,2200336.720779877,94660.85726629755,0.6660278252004556,351.0268154993847,30304.74259377828,38.1646779857336,-27.624178021947376,-31.419054864528363,24.219494977114554,54.269229159375264,16.026121012393123,64.53292339410015,10.113926963120857
BOL,BOL,12344,2006,3342.10144081832,336.798501489949,0,0,0,5.819484833100402,0,4139.963581437097,5898.392670602294,1771970.008304786,14.282028365240173,-3.441228506661785,0.010002822367183264,4600.942208576414,0.10394027600913772,510.76615823512714,3629.1974232019716,0.010002822367183264,-4.604887989091055,12.167321348189079,-4.596267589705595,38128.73233788767,0.32992176417207636,19.417326176886256,4120.5462552873005,1,1.4247450622632767,1.4225501902276751,1.4225501902276751,39.293853549392956,38112.84786367315,0.3298584329178631,1.0000209176985249,1.0000851741757444,1.0000543361659369,1.0000543361659369,12.167321348189079,-4.596267589705595,19.407481152580065,1771738.393484195,19.407481152579972,19.407481152580065,4137.654506762535,5895.102827861315,1771738.393484195,1.0000543361659369,1.0000543361659369,38112.84786367315,0.3298584329178631,1.0000851741757444,1.0000209176985249,12.167049409246125,-4.596502801998894,1.4225191982007657,1.4225191982007657,5889.1776744462695,8390.576812458448,2200336.720779877,54231.76417412698,0.37795171685155976,24.114539687963415,5117.340837972613,42.251919820076566,-29.703710500368853,-33.71241846670689,13.53877386069069,41.00475232503833,19.358625065944523,76.40066273225521,8.328442270026343
BRA,BRA,12345,2006,465995.045863414,1157.49441196575,0,0,0,7.054012958273358,0,552641.6304723107,532990.3059151794,1771970.008304786,18.337492709349732,0.10889414431358747,0.00376594983731654,10642.117961174748,0.2697558161609182,386401.27652197756,166240.35395032426,0.00376594983731654,-5.581755168719971,17.123419039302775,-0.03339754964243011,35833.857641655806,0.31100495955140944,99535.16929448163,453106.4611778308,1,0.9644411070871798,1.2242710573719369,1.2242710573719369,149187.2555129447,35819.45222262343,0.31094979978420695,1.0000193394805197,1.0000835958562218,1.0000593332606291,1.0000593332606291,17.123419039302775,-0.03339754964243011,99478.73761233153,1771738.393484195,99478.7376123333,99478.73761233153,552324.8987030978,532684.8367770301,1771738.393484195,1.0000593332606291,1.0000593332606291,35819.45222262343,0.31094979978420695,1.0000835958562218,1.0000193394805197,17.12311711949562,-0.033662742802802126,1.224244385102786,1.224244385102786,676568.413079775,652510.3893308747,2200336.720779877,43863.66482985497,0.306621536667962,123613.55875852297,562716.7016410298,22.4244385102786,-18.31874208097062,-21.025444108685697,172.56105416692478,238.4958515001599,2.112321956069929,25.06624016082688,13.222465024269608
CAN,CAN,12347,2006,223582.578420015,1485.63636145449,0,0,0,7.303598485677637,0,485003.2436246267,494739.97492069565,1771970.008304786,17.97164466064988,0.12983551362656245,0.0030910353514811,13465.264947426895,0.24520752210737784,224634.74246718825,260368.50115743806,0.0030910353514811,-5.779249178990053,16.182620446045753,-0.8428770731636986,80570.90606583556,0.6486008262811527,14192.858490715264,470810.3851339072,1,1.0200756003677467,1.347391771304572,1.347391771304572,25766.63195519307,80527.35781408516,0.6483959455573832,1.0000366697404228,1.0001009272297667,1.0001063016299363,1.0001063016299363,16.182620446045753,-0.8428770731636986,14176.819883061067,1771738.393484195,14176.819883061198,14176.819883061067,484521.5692406569,494248.63063428586,1771738.393484195,1.0001063016299363,1.0001063016299363,80527.35781408516,0.6483959455573832,1.0001009272297667,1.0000366697404228,16.182036739359575,-0.8434240532023821,1.3473624166973879,1.3473624166973879,653475.1424361491,666594.0482459535,2200336.720779877,108544.02103060711,0.7037674021701603,17626.22959732788,584703.3527886883,34.73624166973879,-25.78253620832345,-29.378842278422212,80.82463241174491,124.56762250020917,16.115038996713714,60.62025905270474,13.091910857783084
CHE,CHE,12348,2006,251300.586580212,110.876319767737,0,0,0,4.708415343762843,0,380556.43073995196,374808.8673527322,1771970.008304786,17.10287273976227,-1.1883511114215186,0.024095934748564102,25187.912532085036,0.6941411969936374,196577.00038387542,183979.4303560731,0.024095934748564102,-3.725712135346238,15.529983594305065,-1.6585436786517256,121419.72726339428,1.110835774436305,25482.004606273906,355074.4261336733,1,0.9848969484603264,1.2997191347195287,1.2997191347195287,43045.98156779478,121393.25652538078,1.11084319171367,0.9999991929976478,1.000063448078822,1.000011289979609,1.000011289979609,15.529983594305065,-1.6585436786517256,25482.243782689096,1771738.393484195,25482.24378268929,25482.243782689096,380518.0020502174,374771.01905347937,1771738.393484195,1.000011289979609,1.000011289979609,121393.25652538078,1.11084319171367,1.000063448078822,0.9999991929976478,15.529969924005531,-1.6585206223051963,1.299690818720083,1.299690818720083,494605.6990376008,487135.64367321954,2200336.720779877,157787.47758307244,1.1626717732751395,31646.314523897927,440969.89787264157,29.969081872008307,-23.060300238190013,-26.34765019012536,92.99680700525248,139.6843478747543,8.237525747048302,41.636418296368724,12.849389752094217
CHL,CHL,12349,2006,72776.633436369,503.977751252461,0,0,0,6.222532122756624,0,105622.47138972323,98440.09457151043,1771970.008304786,17.084441873474407,-1.1888923221330139,0.0072713418096185655,7120.883160151957,0.1824084825292928,58205.499065041004,47416.97232468158,0.0072713418096185655,-4.923814436431727,15.571937489175445,-1.6198693399925048,32315.149381697825,0.2806829104222485,8335.291042996485,97287.18034672785,1,0.931999538320672,1.2867041983043892,1.2867041983043892,13799.971981965311,32301.83183613745,0.28063029055799793,1.0000203400080785,1.000084596448194,1.000057617414908,1.000057617414908,15.571937489175445,-1.6198693399925048,8330.736850829313,1771738.393484195,8330.736850829358,8330.736850829313,105561.9558596374,98383.69412540921,1771738.393484195,1.000057617414908,1.000057617414908,32301.83183613745,0.28063029055799793,1.000084596448194,1.0000203400080785,15.571645863840645,-1.6201242386776527,1.2866761658515364,1.2866761658515364,135901.9165154927,126660.52344933369,2200336.720779877,41573.69768238568,0.29083886934719533,10351.667620762877,120821.76249343061,28.667616585153645,-22.28205975252169,-25.477765626445336,105.17375019342543,154.80699540687505,7.480751364654747,39.071186248262045,11.567626424867342
