exporter,importer,pair_id,year,trade,dist,cntg,lang,clny,log_trade,log_dist,y,log_y,e,log_e,total_e,remoteness_exp,log_remoteness_exp,total_y,remoteness_imp,log_remoteness_imp,exp_year,imp_year
ROM,PRT,2197,2006,29.6067590815127,2926.63232206783,0,0,0,3.388002682611129,7.981607662835646,66298.04836186398,11.101915739268053,106818.18165712024,11.578883431254216,26248052.9686006,661604212.536981,20.31017806884965,26248052.9686006,995955630.3332468,20.7192132666984,ROM2006,PRT2006
NGA,NPL,2014,2006,0,8533.95813886414,0,0,0,-Inf,9.051808558517276,99373.4161630537,11.506639913847772,4881.484603951256,8.493204674702186,26248052.9686006,493911281.07403946,20.017866466055917,26248052.9686006,1525909073.422258,21.145856183120095,NGA2006,NPL2006
FIN,GRC,691,1990,148.285043270111,2544.74481018791,0,0,0,4.999136389506888,7.841785652911137,74506.29053439197,11.21863883750632,39912.5679797954,10.594446540242267,12246859.677430546,944377422.2668016,20.66603645592967,12246859.677430546,967819738.2760613,20.690556407110414,FIN1990,GRC1990
MAR,CHN,702,1990,10.971557262063,10347.9623647244,0,0,0,2.3953062206446387,9.244544906338,14399.522605550279,9.574950332622198,343756.9040908591,12.747690012389178,12246859.677430546,820240444.523827,20.525108080269572,12246859.677430546,1643910328.593066,21.220343587441366,MAR1990,CHN1990
PRT,KWT,1865,1994,10.1757276054621,5301.6716913784,0,0,0,2.3200052379083265,8.575777463275465,52500.60928105669,10.868580053865834,10575.10671712423,9.266258095317388,14265756.416838426,957888830.1857573,20.680242285554115,14265756.416838426,1242933874.1080372,20.940740449434013,PRT1994,KWT1994
CHN,ITA,564,1990,968.565435880661,8466.9254750412,0,0,0,6.875816044716127,9.04392273178958,362844.07621913636,12.801728478871313,467896.120236879,13.056001584956025,12246859.677430546,1327575292.9048822,21.006620027291092,12246859.677430546,1019916363.6121007,20.74298646442197,CHN1990,ITA1990
MAR,MEX,1662,1986,0.0317534999847412,9082.92650665627,0,0,0,-3.4497523239790686,9.114151722162232,7896.268408591173,8.974145573518241,43369.376342103904,10.677508856788364,8435941.468852492,849966245.7564737,20.5607071957854,8435941.46885249,1924480257.9896615,21.377921772381193,MAR1986,MEX1986
KOR,IRL,1235,1994,94.5996655174494,9112.69454175529,0,0,0,4.549653940295233,9.117423724978499,372221.44661212194,12.827244242734231,39631.930260093715,10.587390392040817,14265756.416838426,1752455936.5857737,21.2842840333819,14265756.416838426,1524287404.3199637,21.14479286194264,KOR1994,IRL1994
ISR,ECU,785,1998,13.5148619519285,12383.6638479683,0,0,0,2.60378996524254,9.424133451401694,70406.9774516656,11.162047648764252,13683.12072141801,9.52391828807114,15387631.310950087,679626611.2153275,20.337054104169248,15387631.310950087,2107475382.6901083,21.468756566960728,ISR1998,ECU1998
TUN,COL,1180,1998,0.283033001279831,9193.00987926178,0,0,0,-1.262191775841362,9.126198678513648,15745.509701921039,9.664310505314807,41036.633942135704,10.622220457527105,15387631.310950087,697033296.9687251,20.362343739418375,15387631.310950087,1996116015.9326446,21.414469137361287,TUN1998,COL1998
JOR,IRN,1190,2006,50.8534292346802,1515.74118627586,0,0,0,3.928947558464178,7.323659830173833,26805.46944573087,10.196361229472611,98339.4926617754,11.49618098193061,26248052.9686006,609385434.5673261,20.227961522962318,26248052.9686006,1123219555.9523895,20.839465002010524,JOR2006,IRN2006
CHN,NOR,870,1986,48.9170567941666,7478.26221322403,0,0,0,3.890126145357525,8.919755719541731,256167.03993744752,12.453585010431945,43733.020664514384,10.685858717359,8435941.468852492,1279167811.7003562,20.96947555633156,8435941.46885249,1098812872.709732,20.81749622736043,CHN1986,NOR1986
KOR,LKA,1497,2006,164.716310453713,5781.10751787224,0,0,0,5.104224663571838,8.662350555399794,1055449.8601617676,13.869477641742634,39074.17707012565,10.57321709480241,26248052.9686006,1266749048.6541393,20.959719651306898,26248052.9686006,1495615428.880033,21.12580361719484,KOR2006,LKA2006
LKA,CRI,790,1998,0.0405089693267113,17420.4166268005,0,0,0,-3.206231864532296,9.765398166699171,6084.5068206081,8.713500953757096,11179.026338323216,9.321794653321152,15387631.310950087,964037564.2324145,20.686640818861697,15387631.310950087,2130928534.0757618,21.479823653168186,LKA1998,CRI1998
JOR,SGP,1840,1998,2.98994806668663,7868.60299780388,0,0,0,1.0952560182506252,8.970635815845808,3927.3611444272547,8.275723014807713,150194.15940652712,11.91968413211355,15387631.310950087,682102866.1390793,20.34069103454997,15387631.310950087,1847872464.1824627,21.337300794896127,JOR1998,SGP1998
TZA,TUR,2326,1990,0.0231820001602173,5122.80054467411,0,0,0,-3.7643791566043037,8.541456549875427,769.8248531498319,6.64616302553222,79807.54981239619,11.287373388140631,12246859.677430546,787213234.0515562,20.48400971511024,12246859.677430546,984890125.7040019,20.70804064540585,TZA1990,TUR1990
USA,MAR,2100,2006,631.883971377373,7505.677012957,0,0,0,6.448705787699461,8.923414948254472,5019963.564348898,15.428933233543743,38966.78742188687,10.57046495772361,26248052.9686006,1254472371.6831658,20.949980900158895,26248052.9686006,916832231.5276774,20.63643505985965,USA2006,MAR2006
